Date,Close,High,Low,Open,Volume
2023-08-18,-17.40772247314453,-18.627042903190045,-16.949397980062237,-17.347189174013565,3857872
2023-08-21,-19.14590072631836,-19.14590072631836,-17.29530375260085,-17.303951602406197,2542010
2023-08-22,-20.529525756835938,-21.04838520941604,-19.51775040159779,-19.941485153872403,2802590
2023-08-23,-18.549213409423828,-20.477639327399903,-18.480032262347827,-20.468991477839324,3373946
2023-08-24,-17.295303344726562,-19.457216262817383,-17.208826498121198,-18.531917797779897,2010763
2023-08-25,-18.31572723388672,-18.601099684439824,-16.90615903160265,-17.295304032088122,1800540
2023-08-28,-17.606618881225586,-18.722165060660075,-17.606618881225586,-18.35031578437904,2326898
2023-08-29,-17.952524185180664,-18.289782055974356,-17.58932276686108,-17.62391251415369,1307894
2023-08-31,-17.85740089416504,-18.246545890530022,-17.64120959605309,-17.95252559314508,985140
2023-09-01,-18.851879119873047,-19.241024087014296,-17.710389415470157,-18.064942985795035,1508831
2023-09-04,-20.06255340576172,-20.62465045884975,-18.497327197917745,-18.895120049711977,1835212
2023-09-05,-20.209562301635746,-20.330628894947164,-19.50045349241685,-20.06255216001103,973108
2023-09-06,-20.31333351135254,-21.01379283259679,-20.027961073111648,-20.218208815469357,954720
2023-09-07,-20.7976016998291,-21.14350908770685,-19.846361331391304,-20.31333366597239,1122777
2023-09-08,-21.83531951904297,-22.137987644238155,-20.806248553142776,-20.806248553142776,1391211
2023-09-11,-21.6407470703125,-22.289320918470167,-21.195393555721648,-21.83531955464152,973974
2023-09-12,-22.02989387512207,-22.267703976052537,-21.15215607252634,-21.835321374575788,871636
2023-09-13,-24.213424682617188,-24.213424682617188,-21.87855807131564,-22.61360879334825,2344175
2023-09-14,-24.948474884033203,-25.921335676872733,-23.348659028148695,-24.580948705981985,2635818
2023-09-15,-27.023910522460938,-27.434674292284065,-24.86199768066406,-25.510571533203123,4043024
2023-09-18,-26.915815353393555,-28.94801214086986,-26.418574731278255,-27.650866062404106,3359994
2023-09-19,-26.8509578704834,-27.56438979554328,-25.57543056417735,-26.915815918001083,1499104
2023-09-20,-25.402477264404297,-27.456294575143367,-25.33761921588064,-26.850958286951535,1469435
2023-09-21,-27.17524528503418,-27.21848453393922,-25.59704981169592,-25.640287411192265,1315541
2023-09-22,-27.240102767944336,-27.629247752964147,-26.65638693982328,-27.175244720638148,778597
2023-09-25,-28.06163024902344,-28.06163024902344,-26.375337518410763,-27.240102682948823,1240533
2023-09-26,-26.375337600708008,-28.08324748647283,-26.375337600708008,-28.06163033658231,1126947
2023-09-27,-25.770000457763672,-26.656386043916907,-25.380857135231413,-26.483432356519057,817797
2023-09-28,-26.02943229675293,-27.00229312607951,-25.61866850559997,-25.77000175262063,704669
2023-09-29,-26.396955490112305,-26.937433701004892,-25.834858480665737,-26.029430966468784,540970
2023-10-02,-25.79162216186523,-27.17524513079974,-25.661906065295028,-26.48343364633249,1110528
2023-10-03,-25.05657196044922,-26.029432808918187,-24.66742696129814,-25.791622709174185,1008574
2023-10-04,-24.64580726623535,-25.424095586866315,-24.32152032852173,-25.078189849853516,1007228
2023-10-05,-25.79162216186523,-25.899717809401285,-24.68904523747057,-25.25114392418498,712645
2023-10-06,-26.072669982910156,-26.59152942349422,-25.294381646738405,-25.77000183845206,615875
2023-10-09,-25.143047332763672,-26.072668877029944,-25.12142688454116,-25.640286303117644,528929
2023-10-10,-25.445714950561523,-25.94295559251487,-25.143048454842475,-25.143048454842475,406928
2023-10-11,-24.73228454589844,-25.83485982354891,-24.602570098423445,-25.445714831715247,494716
2023-10-12,-24.47285270690918,-25.20790340292771,-24.04047013859341,-24.797139633146006,687833
2023-10-13,-25.121427536010746,-25.143047984793935,-24.01885227382321,-24.47285365832294,559917
2023-10-16,-24.213424682617188,-25.942955017089844,-23.759423299699847,-25.532191232770856,650502
2023-10-17,-24.580949783325195,-24.580949783325195,-23.759423845233066,-24.256662838165713,410554
2023-10-18,-23.82427978515625,-24.321520417908054,-23.78104218639899,-24.213424771606245,375990
2023-10-19,-24.86199951171875,-25.294382111922555,-23.78104301120924,-23.80266181133769,619894
2023-10-20,-24.689044952392575,-25.510572523944074,-24.19180596911344,-24.689044952392575,594226
2023-10-23,-25.467334747314453,-25.55380994421385,-24.42961589043516,-24.68904477995066,674726
2023-10-24,-26.094287872314453,-26.22400396499171,-24.90523578510295,-25.510572052901352,809449
2023-10-25,-24.86199951171875,-26.440196662226125,-24.667427011745296,-26.440196662226125,761408
2023-10-26,-26.375337600708008,-26.375337600708008,-24.667426065534528,-24.99171300324815,847106
2023-10-27,-26.115909576416016,-26.50505292493283,-25.59705012898489,-26.375338475427224,896826
2023-10-30,-27.867055892944336,-28.061630032756227,-25.748382245799625,-25.748382245799625,848506
2023-10-31,-28.537250518798828,-29.66144457644259,-27.6724853515625,-27.867056194663743,1126357
2023-11-01,-29.380395889282227,-29.66144523463402,-27.650867165839756,-28.81830049739603,1221412
2023-11-02,-31.412595748901367,-31.412595748901367,-28.861537814176938,-29.38039560142171,1134816
2023-11-03,-32.601646423339844,-32.601646423339844,-30.59106681396592,-31.650402790470363,1036891
2023-11-06,-31.97469139099121,-32.60164812931141,-31.131546655271233,-32.580027680162736,908362
2023-11-07,-32.23412322998047,-32.623264919825424,-30.915355018074145,-31.996311487237573,834521
2023-11-08,-32.16926574707031,-32.839456790432095,-31.412596205366185,-32.255740946595246,712091
2023-11-09,-31.088308334350582,-32.407073231381354,-30.526209657703173,-32.126027191874954,930338
2023-11-10,-30.31001853942871,-30.699163525572672,-29.920873553284743,-30.24516049193516,984207
2023-11-13,-29.877635955810547,-30.3964970369633,-28.75344189487224,-30.26678094197078,888505
2023-11-14,-29.920873641967773,-30.007352138487928,-29.488491055819004,-29.877636043116365,432357
2023-11-15,-29.229061126708984,-29.964113476369185,-28.775061406653226,-29.92087258023483,489433
2023-11-16,-27.69410514831543,-29.229061304734675,-27.240102126677247,-29.03449046621388,912411
2023-11-17,-27.867055892944336,-28.018392434626012,-26.375337315139586,-27.3698169168123,658263
2023-11-20,-26.591529846191406,-27.86705719408337,-26.48343419641014,-27.86705719408337,1029080
2023-11-21,-26.461814880371097,-27.240103213739044,-25.986193040962185,-26.59152932769764,520991
2023-11-22,-26.591529846191406,-27.21848494480449,-26.007813997136054,-26.46181539633563,465880
2023-11-23,-26.072669982910156,-26.80772071962019,-25.640287390658216,-26.721243871288063,435976
2023-11-24,-25.640287399291992,-26.80772072864707,-25.59704979981572,-25.964574343590144,683178
2023-11-27,-25.59704971313477,-25.964574255664623,-25.056571474468107,-25.74838296019796,613571
2023-11-28,-27.715723037719727,-28.148105622703863,-25.55381011279904,-25.597049360942652,1835667
2023-11-29,-29.27229881286621,-29.83439747614659,-26.74286142573897,-28.04000914209317,2712449
2023-11-30,-28.364295959472656,-30.11544668918104,-28.34267881024223,-29.488489982788693,1011256
2023-12-01,-28.86153793334961,-29.207445325485992,-27.996772751826025,-28.66696708703375,586472
2023-12-04,-29.639827728271484,-29.747923375276383,-28.66696690522735,-28.88315819923716,640667
2023-12-05,-28.104867935180664,-29.856018718361156,-28.104867935180664,-29.63982742655207,774232
2023-12-06,-26.786102294921875,-28.148106489939703,-25.74838339922463,-28.104868889872616,778708
2023-12-07,-26.937435150146484,-27.348198942404252,-26.09428876591394,-26.78610190271879,347606
2023-12-08,-26.50505256652832,-27.132007654971144,-26.332100519329096,-26.937435158639413,287723
2023-12-11,-27.6724853515625,-27.78058099746704,-26.22400435620511,-26.548291293918737,857933
2023-12-12,-28.904775619506836,-29.618207556170777,-27.11038885209937,-27.672485891896784,1314037
2023-12-13,-27.6724853515625,-28.991253551124828,-27.650866552263324,-28.969633102416992,530698
2023-12-14,-27.36981773376465,-28.23458456685885,-26.56991059861903,-27.802201975016093,676687
2023-12-15,-27.110387802124023,-27.82381806174838,-27.06714855494736,-27.62924722238359,484925
2023-12-18,-27.023910522460938,-27.434674292284065,-26.80771923828125,-27.17524376162328,325246
2023-12-19,-27.715723037719727,-27.931914330211796,-26.1591463915403,-27.0022927621411,461871
2023-12-20,-26.980674743652344,-27.910297988037,-26.85095864487591,-27.67248623988601,269691
2023-12-21,-26.65638732910156,-27.196865566517175,-26.267242338398844,-26.37533798588197,295438
2023-12-22,-25.942955017089844,-27.067149074733607,-25.942955017089844,-26.894197030931537,221549
2023-12-25,-24.083709716796875,-25.94295445628203,-24.083709716796875,-25.94295445628203,293365
2023-12-26,-25.121427536010746,-26.37533769263729,-23.34865959676088,-24.083710321355458,374244
2023-12-27,-24.53771209716797,-25.510572929214277,-24.472854048601405,-25.121427936632276,194728
2023-12-28,-24.64580726623535,-26.375337600708008,-24.235043481916364,-24.559330419629987,467062
2023-12-29,-26.375337600708008,-26.461814447313373,-24.386378375827917,-25.661905677974573,521715
2024-01-02,-25.488954544067383,-26.505052992078895,-25.05657194501419,-26.37533854224468,759767
2024-01-03,-24.602569580078125,-25.48895354345905,-24.516092733780525,-25.48895354345905,344107
2024-01-04,-25.078189849853516,-25.40247678756714,-24.42961597442627,-24.45123477372545,291647
2024-01-05,-26.115909576416016,-26.33210087539493,-25.099809481569903,-25.294381980532663,617078
2024-01-08,-27.110387802124023,-27.110387802124023,-25.7916212772954,-26.094287760488903,689982
2024-01-09,-26.396955490112305,-27.542769956968034,-25.899716525736284,-27.369816269718964,653117
2024-01-10,-25.79162216186523,-26.48343364633249,-25.33761912268687,-26.48343364633249,345941
2024-01-11,-25.618667602539062,-26.31047906368806,-25.55380955644007,-26.31047906368806,227512
2024-01-12,-26.115909576416016,-26.396957275443373,-25.294381980532663,-25.618668929001032,429453
2024-01-15,-25.942955017089844,-26.786101385026996,-25.488953634172503,-26.35371880140883,504714
2024-01-16,-26.807720184326172,-28.104867935180664,-25.72676372528076,-25.942955017089844,2200244
2024-01-17,-27.391435623168945,-27.888676247026673,-26.41857482385406,-26.656386560991272,452614
2024-01-18,-27.391435623168945,-27.996771891394992,-26.95905304569566,-27.629247360306156,633859
2024-01-19,-28.88315773010254,-29.402015507771587,-27.023911312290064,-27.369817047205647,1040690
2024-01-22,-28.666967391967773,-29.74792388037052,-28.299439546856913,-28.88315868964832,1029608
2024-01-23,-27.52115249633789,-29.09934960863077,-27.39143639989072,-28.666967018896685,494601
2024-01-24,-28.083248138427734,-28.775062927331188,-27.52115274596542,-27.52115274596542,484221
2024-01-25,-28.277822494506836,-28.537251392860263,-27.996773146783365,-28.537251392860263,276637
2024-01-26,-30.48297119140625,-30.872116164251473,-28.10486705590647,-28.27782074370626,908155
2024-01-29,-30.13706398010254,-31.49906974307736,-30.07220923328912,-31.13154521625996,610100
2024-01-30,-30.504592895507812,-31.650404114375256,-29.55334922284876,-30.56944764463816,782685
2024-01-31,-30.634305953979492,-31.369358338963117,-30.37487705879243,-30.980213346773834,660589
2024-02-01,-31.563928604125977,-31.65040380132268,-30.266780853271484,-30.266780853271484,634529
2024-02-02,-30.288400650024418,-31.99631049902664,-30.20192215587183,-31.563927924715472,834373
2024-02-05,-31.088308334350582,-31.10992548418022,-30.158685122426313,-30.266780768026408,557276
2024-02-06,-32.75297927856445,-33.25021988777144,-30.569446007133287,-31.1964027052872,988191
2024-02-07,-31.97469139099121,-33.27183916829418,-31.909836641179968,-33.20698441848294,540011
2024-02-08,-31.866594314575195,-32.644884265599835,-31.693643924407265,-31.97468995783877,407792
2024-02-09,-32.27735900878906,-32.62326308012462,-31.542306671918812,-31.93145163863634,422017
2024-02-12,-31.780120849609375,-32.493552793751846,-31.715262800356893,-32.298978645994396,458701
2024-02-13,-31.304500579833984,-32.29897857038003,-30.74240188605161,-32.29897857038003,440286
2024-02-14,-30.980213165283203,-31.28287965809211,-30.201923185464068,-31.153166860667163,444058
2024-02-15,-31.715261459350582,-32.061168841526325,-30.785638256218416,-30.958591947306285,516678
2024-02-16,-31.780120849609375,-32.644886042796024,-31.3909758529119,-31.56392955131271,697146
2024-02-19,-30.46135139465332,-32.21250216048868,-30.37487619831315,-31.953073272650887,471558
2024-02-20,-30.48297119140625,-31.347736331587985,-30.288400354392245,-30.526208788651893,413414
2024-02-21,-29.877635955810547,-30.958592418023787,-29.812777908314285,-30.74240112558114,360614
2024-02-22,-29.61820602416992,-30.439733566355596,-29.423635187333648,-29.877634906224024,423361
2024-02-23,-29.83439826965332,-30.028969112754567,-28.558870967506664,-29.856018718361156,682745
2024-02-26,-30.007352828979492,-32.32059905834145,-29.44525413452485,-30.05059042882583,1418970
2024-02-27,-29.445253372192383,-30.61268833072332,-29.31554057601161,-30.050589650821316,525529
